,Unnamed: 0,object_id,MergedDegree
0,0,p:6117,"0,1,0,0,0"
1,1,p:6136,"1,0,0,0,0"
2,2,p:6136,"0,1,0,0,0"
3,3,p:6005,"0,1,0,0,0"
4,4,p:5832,"1,0,0,0,0"
5,5,p:1017,"1,0,0,0,0"
6,6,p:6176,"1,0,0,0,0"
7,7,p:5412,"0,1,0,0,0"
8,8,p:1243,"1,0,0,0,0"
9,9,p:6265,"1,0,0,0,0"
10,10,p:6328,"0,0,1,0,0"
11,11,p:6329,"0,1,0,0,0"
12,12,p:2351,"1,0,0,0,0"
13,13,p:2351,"1,0,0,0,0"
14,14,p:5471,"0,1,0,0,0"
15,15,p:2005,"0,0,0,0,1"
16,16,p:6453,"0,1,0,0,0"
17,17,p:6453,"1,0,0,0,0"
18,18,p:5991,"1,0,0,0,0"
19,19,p:1017,"0,1,0,0,0"
20,20,p:6497,"1,0,0,0,0"
21,21,p:6497,"0,1,0,0,0"
22,22,p:174,"1,0,0,0,0"
23,23,p:3791,"1,0,0,0,0"
24,24,p:6496,"1,0,0,0,0"
25,25,p:6496,"0,1,0,0,0"
26,26,p:6536,"1,0,0,0,0"
27,27,p:6559,"1,0,0,0,0"
28,28,p:6579,"1,0,0,0,0"
29,29,p:6591,"0,1,0,0,0"
30,30,p:5507,"0,1,0,0,0"
31,31,p:179,"1,0,0,0,0"
32,32,p:2574,"0,0,0,0,1"
33,33,p:6611,"1,0,0,0,0"
34,34,p:6614,"1,0,0,0,0"
35,35,p:6614,"1,0,0,0,0"
36,36,p:3595,"1,0,0,0,0"
37,37,p:6263,"1,0,0,0,0"
38,38,p:5553,"1,0,0,0,0"
39,39,p:219,"1,0,0,0,0"
40,40,p:6659,"1,0,0,0,0"
41,41,p:6660,"1,0,0,0,0"
42,42,p:6660,"0,1,0,0,0"
43,43,p:6678,"1,0,0,0,0"
44,44,p:6700,"1,0,0,0,0"
45,45,p:5058,"1,0,0,0,0"
46,46,p:2216,"0,0,1,0,0"
47,47,p:2216,"1,0,0,0,0"
48,48,p:6729,"1,0,0,0,0"
49,49,p:5918,"1,0,0,0,0"
50,50,p:5920,"1,0,0,0,0"
51,51,p:5920,"0,0,0,0,1"
52,52,p:6135,"1,0,0,0,0"
53,53,p:2371,"1,0,0,0,0"
54,54,p:2371,"1,0,0,0,0"
55,55,p:2279,"1,0,0,0,0"
56,56,p:2834,"1,0,0,0,0"
57,57,p:2834,"0,1,0,0,0"
58,58,p:5547,"1,0,0,0,0"
59,59,p:5547,"0,1,0,0,0"
60,60,p:1434,"1,0,0,0,0"
61,61,p:3915,"1,0,0,0,0"
62,62,p:6202,"1,0,0,0,0"
63,63,p:6202,"0,1,0,0,0"
64,64,p:5001,"0,1,0,0,0"
65,65,p:6135,"0,1,0,0,0"
66,66,p:2209,"1,0,0,0,0"
67,67,p:3024,"1,0,0,0,0"
68,68,p:6860,"1,0,0,0,0"
69,69,p:6860,"0,1,0,0,0"
70,70,p:6893,"1,0,0,0,0"
71,71,p:6934,"1,0,0,0,0"
72,72,p:3026,"1,0,0,0,0"
73,73,p:3027,"0,0,0,0,1"
74,74,p:3457,"1,0,0,0,0"
75,75,p:3457,"0,1,0,0,0"
76,76,p:1238,"1,0,0,0,0"
77,77,p:6944,"1,0,0,0,0"
78,78,p:2223,"1,0,0,0,0"
79,79,p:3502,"1,0,0,0,0"
80,80,p:5927,"1,0,0,0,0"
81,81,p:5927,"0,1,0,0,0"
82,82,p:4304,"1,0,0,0,0"
83,83,p:3770,"1,0,0,0,0"
84,84,p:7042,"0,1,0,0,0"
85,85,p:7042,"1,0,0,0,0"
86,86,p:7061,"1,0,0,0,0"
87,87,p:7063,"0,1,0,0,0"
88,88,p:7063,"1,0,0,0,0"
89,89,p:7080,"0,1,0,0,0"
90,90,p:7080,"0,1,0,0,0"
91,91,p:7080,"1,0,0,0,0"
92,92,p:6060,"1,0,0,0,0"
93,93,p:3496,"1,0,0,0,0"
94,94,p:2293,"1,0,0,0,0"
95,95,p:6700,"0,0,1,0,0"
96,96,p:6591,"0,0,0,0,1"
97,97,p:1457,"1,0,0,0,0"
98,98,p:1455,"1,0,0,0,0"
99,99,p:938,"1,0,0,0,0"
100,100,p:1697,"1,0,0,0,0"
101,101,p:1697,"0,1,0,0,0"
102,102,p:1697,"0,0,0,0,1"
103,103,p:3358,"1,0,0,0,0"
104,104,p:917,"1,0,0,0,0"
105,105,p:3498,"1,0,0,0,0"
106,106,p:7174,"1,0,0,0,0"
107,107,p:7183,"1,0,0,0,0"
108,108,p:7183,"0,1,0,0,0"
109,109,p:7184,"1,0,0,0,0"
110,110,p:7189,"1,0,0,0,0"
111,111,p:7189,"0,1,0,0,0"
112,112,p:7185,"1,0,0,0,0"
113,113,p:7185,"0,1,0,0,0"
114,114,p:4660,"1,0,0,0,0"
115,115,p:7186,"1,0,0,0,0"
116,116,p:7186,"0,1,0,0,0"
117,117,p:7195,"1,0,0,0,0"
118,118,p:7195,"0,0,0,0,1"
119,119,p:7198,"1,0,0,0,0"
120,120,p:7208,"0,1,0,0,0"
121,121,p:7209,"1,0,0,0,0"
122,122,p:443,"0,1,0,0,0"
123,123,p:443,"1,0,0,0,0"
124,124,p:443,"1,0,0,0,0"
125,125,p:7248,"0,1,0,0,0"
126,126,p:7248,"0,1,0,0,0"
127,127,p:729,"1,0,0,0,0"
128,128,p:729,"0,1,0,0,0"
129,129,p:7235,"0,0,1,0,0"
130,130,p:7235,"0,1,0,0,0"
131,131,p:7236,"1,0,0,0,0"
132,132,p:7236,"0,1,0,0,0"
133,133,p:2755,"0,1,0,0,0"
134,134,p:7252,"1,0,0,0,0"
135,135,p:7253,"1,0,0,0,0"
136,136,p:2757,"1,0,0,0,0"
137,137,p:2757,"0,1,0,0,0"
138,138,p:7260,"0,1,0,0,0"
139,139,p:7259,"1,0,0,0,0"
140,140,p:7263,"1,0,0,0,0"
141,141,p:7263,"0,1,0,0,0"
142,142,p:7264,"1,0,0,0,0"
143,143,p:7264,"0,1,0,0,0"
144,144,p:7265,"1,0,0,0,0"
145,145,p:7266,"0,1,0,0,0"
146,146,p:7267,"0,1,0,0,0"
147,147,p:726,"1,0,0,0,0"
148,148,p:2531,"1,0,0,0,0"
149,149,p:2531,"1,0,0,0,0"
150,150,p:3730,"1,0,0,0,0"
151,151,p:3730,"0,0,0,0,1"
152,152,p:3731,"1,0,0,0,0"
153,153,p:3731,"0,1,0,0,0"
154,154,p:3731,"0,1,0,0,0"
155,155,p:3731,"0,0,0,0,1"
156,156,p:5606,"1,0,0,0,0"
157,157,p:5606,"0,1,0,0,0"
158,158,p:7302,"1,0,0,0,0"
159,159,p:7303,"0,1,0,0,0"
160,160,p:7304,"1,0,0,0,0"
161,161,p:7305,"1,0,0,0,0"
162,162,p:7306,"1,0,0,0,0"
163,163,p:7312,"1,0,0,0,0"
164,164,p:7312,"0,1,0,0,0"
165,165,p:6842,"1,0,0,0,0"
166,166,p:102,"0,1,0,0,0"
167,167,p:102,"0,0,1,0,0"
168,168,p:7376,"1,0,0,0,0"
169,169,p:7377,"0,1,0,0,0"
170,170,p:7377,"1,0,0,0,0"
171,171,p:7368,"1,0,0,0,0"
172,172,p:7378,"1,0,0,0,0"
173,173,p:7378,"0,1,0,0,0"
174,174,p:7379,"1,0,0,0,0"
175,175,p:7380,"1,0,0,0,0"
176,176,p:7381,"1,0,0,0,0"
177,177,p:7381,"0,1,0,0,0"
178,178,p:7382,"1,0,0,0,0"
179,179,p:7382,"0,1,0,0,0"
180,180,p:7382,"0,0,1,0,0"
181,181,p:7383,"1,0,0,0,0"
182,182,p:7383,"0,1,0,0,0"
183,183,p:7384,"1,0,0,0,0"
184,184,p:7188,"0,1,0,0,0"
185,185,p:7187,"0,1,0,0,0"
186,186,p:7392,"1,0,0,0,0"
187,187,p:7392,"1,0,0,0,0"
188,188,p:7405,"1,0,0,0,0"
189,189,p:7405,"0,0,1,0,0"
190,190,p:7405,"0,0,1,0,0"
191,191,p:7405,"0,0,1,0,0"
192,192,p:7409,"1,0,0,0,0"
193,193,p:7428,"1,0,0,0,0"
194,194,p:7426,"1,0,0,0,0"
195,195,p:7429,"1,0,0,0,0"
196,196,p:7429,"0,1,0,0,0"
197,197,p:7430,"1,0,0,0,0"
198,198,p:7396,"1,0,0,0,0"
199,199,p:7396,"0,1,0,0,0"
200,200,p:7443,"1,0,0,0,0"
201,201,p:7443,"0,1,0,0,0"
202,202,p:7424,"1,0,0,0,0"
203,203,p:7424,"0,1,0,0,0"
204,204,p:7444,"0,1,0,0,0"
205,205,p:7454,"1,0,0,0,0"
206,206,p:6349,"1,0,0,0,0"
207,207,p:6349,"0,1,0,0,0"
208,208,p:438,"1,0,0,0,0"
209,209,p:438,"1,0,0,0,0"
210,210,p:6350,"1,0,0,0,0"
211,211,p:6350,"0,0,0,0,1"
212,212,p:6350,"0,1,0,0,0"
213,213,p:6351,"1,0,0,0,0"
214,214,p:6351,"0,1,0,0,0"
215,215,p:6353,"0,1,0,0,0"
216,216,p:633,"1,0,0,0,0"
217,217,p:633,"0,1,0,0,0"
218,218,p:6354,"1,0,0,0,0"
219,219,p:6354,"0,0,0,0,1"
220,220,p:448,"1,0,0,0,0"
221,221,p:7516,"1,0,0,0,0"
222,222,p:7425,"1,0,0,0,0"
223,223,p:7425,"0,1,0,0,0"
224,224,p:7519,"0,1,0,0,0"
225,225,p:7519,"1,0,0,0,0"
226,226,p:7520,"0,1,0,0,0"
227,227,p:7520,"1,0,0,0,0"
228,228,p:5345,"1,0,0,0,0"
229,229,p:6950,"0,0,1,0,0"
230,230,p:5730,"1,0,0,0,0"
231,231,p:5730,"0,1,0,0,0"
232,232,p:6970,"0,0,0,0,1"
233,233,p:4855,"1,0,0,0,0"
234,234,p:4855,"0,1,0,0,0"
235,235,p:2442,"1,0,0,0,0"
236,236,p:6880,"1,0,0,0,0"
237,237,p:6880,"0,1,0,0,0"
238,238,p:7589,"0,0,1,0,0"
239,239,p:432,"1,0,0,0,0"
240,240,p:432,"0,1,0,0,0"
241,241,p:6712,"1,0,0,0,0"
242,242,p:6712,"0,1,0,0,0"
243,243,p:7600,"1,0,0,0,0"
244,244,p:7600,"0,1,0,0,0"
245,245,p:7601,"1,0,0,0,0"
246,246,p:7601,"0,1,0,0,0"
247,247,p:7602,"1,0,0,0,0"
248,248,p:7602,"0,1,0,0,0"
249,249,p:7602,"0,1,0,0,0"
250,250,p:7553,"1,0,0,0,0"
251,251,p:7553,"0,1,0,0,0"
252,252,p:7603,"1,0,0,0,0"
253,253,p:7603,"0,1,0,0,0"
254,254,p:7603,"0,0,0,0,1"
255,255,p:7604,"1,0,0,0,0"
256,256,p:7604,"0,1,0,0,0"
257,257,p:5902,"1,0,0,0,0"
